"title","year","age","im_db","rotten_tomatoes","runtime","streaming","main_language"
"The Apple Dumpling Gang",1975,"all",6.5,5.6,100,"Disney+","English"
"Double Dragon",1994,"13+",3.8,1.3,96,"Amazon","English"
"I, Frankenstein",2014,"13+",5.1,0.5,92,"Multiple","English"
"The Great New Wonderful",2005,"18+",5.6,7.3,87,"Amazon","English"
"Fireworks, Should We See It from the Side or the Bottom?",2017,"13+",5.5,4.3,90,"Netflix","Foreign"
"Pirates of the Caribbean: The Curse of the Black Pearl",2003,"13+",8,7.9,143,"Disney+","English"
"Prom",2011,"7+",5.4,3.6,104,"Disney+","English"
"Playing It Cool",2014,"18+",6,1.4,94,"Multiple","English"
"Close Enemies",2018,"18+",6.3,5.8,111,"Netflix","Foreign"
"Hello I Must Be Going",2012,"18+",6.2,7.5,95,"Multiple","English"
"House of D",2004,"13+",7,1,97,"Multiple","English"
"Liquid Sky",1982,"18+",6.2,9.5,112,"Amazon","English"
"It Comes at Night",2017,"18+",6.2,8.7,91,"Netflix","English"
"Mom and Dad",2018,"18+",5.5,7.5,86,"Hulu","English"
"Admiral",2015,"7+",7,6.7,151,"Amazon","Foreign"
"Mardaani",2014,"13+",7.3,6.7,113,"Amazon","Foreign"
"Bright",2017,"18+",6.3,2.8,117,"Netflix","English"
"Demonic",2015,"18+",5.3,3.3,83,"Netflix","English"
"Looney Tunes: Back in Action",2003,"7+",5.7,5.6,93,"Netflix","English"
"They Wait",2007,"18+",5.3,4,99,"Amazon","English"
"Super Inframan",1975,"7+",6.3,10,88,"Amazon","Foreign"
"The Bookshop",2017,"7+",6.5,5.7,113,"Multiple","English"
"Toy Story 2",1999,"all",7.9,10,92,"Disney+","English"
"The Last Song",2010,"7+",6,2.1,107,"Disney+","English"
"Hotel Mumbai",2018,"18+",7.6,7.6,123,"Hulu","English"
"The Florida Project",2017,"18+",7.6,9.6,111,"Netflix","English"
"Lila & Eve",2015,"18+",5.8,4,94,"Multiple","English"
"Backstabbing for Beginners",2018,"18+",6.2,3.8,108,"Amazon","English"
"I, Tonya",2017,"18+",7.5,8.9,119,"Hulu","English"
"Mud",2013,"13+",7.4,9.7,130,"Netflix","English"
"Big Time Adolescence",2020,"18+",7,8.4,91,"Hulu","English"
"The Town That Dreaded Sundown",1976,"18+",6.1,4.2,90,"Amazon","English"
"Small Town Murder Songs",2010,"18+",5.9,7.9,75,"Amazon","English"
"The Immaculate Conception of Little Dizzle",2010,"18+",6.2,8.9,104,"Amazon","English"
"One Magic Christmas",1985,"all",6.5,4.7,89,"Disney+","English"
"BloodRayne",2005,"18+",2.9,0.4,95,"Amazon","English"
"Bank Chor",2017,"7+",5.9,2,120,"Amazon","Foreign"
"Assassination Tango",2002,"18+",5.8,4.7,114,"Multiple","English"
"Falling Inn Love",2019,"7+",5.6,6.1,98,"Netflix","English"
"Camp Nowhere",1994,"7+",6.1,1.8,96,"Disney+","English"
"The Rescuers",1977,"all",6.9,8,78,"Disney+","English"
"Low Down",2014,"18+",6.1,5,114,"Amazon","English"
"Poster Boys",2017,"13+",5.5,3.3,128,"Netflix","Foreign"
"Never Forever",2007,"18+",6.5,8,104,"Amazon","Foreign"
"These Girls",2005,"18+",5.5,7.3,92,"Amazon","English"
"The Birth of a Nation",1915,"7+",6.4,9.3,195,"Amazon","Foreign"
"Cheetah",1989,"all",6,5,83,"Disney+","English"
"Samsara",2011,"13+",8.5,7.6,102,"Amazon","Foreign"
"Romeo & Juliet",2013,"13+",5.8,2.4,118,"Hulu","English"
"Escape and Evasion",2019,"16+",4.8,8,92,"Amazon","English"
"Inequality for All",2013,"7+",8,9,89,"Netflix","English"
"1492: Conquest of Paradise",1992,"13+",6.5,3.2,154,"Amazon","Foreign"
"Sukiyaki Western Django",2007,"18+",6.2,5.6,121,"Amazon","English"
"Una",2017,"18+",6.2,7.6,94,"Netflix","English"
"Rogue One: A Star Wars Story",2016,"13+",7.8,8.4,133,"Disney+","English"
"Terror Train",1980,"18+",5.9,3.6,97,"Amazon","English"
"Miss Hokusai",2015,"13+",6.7,9.3,93,"Netflix","Foreign"
"3 Men and a Little Lady",1990,"7+",5.4,3.8,104,"Disney+","English"
"Marriage Story",2019,"18+",8,9.5,137,"Netflix","English"
"Bachna Ae Haseeno",2008,"7+",6.2,6.3,152,"Amazon","Foreign"
"I Kill Giants",2018,"13+",6.2,7.7,106,"Hulu","English"
"Mega Piranha",2010,"18+",2.4,0.8,92,"Amazon","English"
"Jerry Maguire",1996,"18+",7.3,8.3,139,"Netflix","English"
"Once Upon a Time in the West",1968,"13+",8.5,9.5,165,"Multiple","Foreign"
"The Fundamentals of Caring",2016,"18+",7.3,7.7,97,"Multiple","English"
"Iron Man 2",2010,"13+",7,7.3,124,"Multiple","English"
"Toy Story 4",2019,"all",7.8,9.7,100,"Disney+","English"
"From Paris with Love",2010,"18+",6.5,3.8,92,"Multiple","English"
"Grizzly Man",2005,"18+",7.8,9.2,103,"Amazon","English"
"Mara",2018,"18+",5.1,2.9,98,"Netflix","English"
"Breakdown",1997,"18+",6.9,8,93,"Amazon","English"
"Julie & Julia",2009,"13+",7,7.7,123,"Netflix","English"
"Mandingo",1975,"18+",6.3,2.9,127,"Amazon","English"
"The Parent Trap",1998,"7+",6.5,8.6,128,"Disney+","English"
"A Spell to Ward Off the Darkness",2013,"7+",6.2,9.5,98,"Amazon","English"
"The Road to El Dorado",2000,"7+",6.9,4.8,89,"Hulu","English"
"Cesar Chavez",2014,"13+",6.4,3.8,102,"Amazon","English"
"Undefeated",2011,"13+",7.7,9.6,113,"Netflix","English"
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,"13+",6.6,4.1,109,"Netflix","English"
"The Special Relationship",2010,"16+",6.7,8.6,93,"Amazon","English"
"Morvern Callar",2002,"18+",6.8,8.4,97,"Amazon","English"
"Fantasia 2000",1999,"all",7.2,8.1,75,"Disney+","English"
